id;opath;error;offset;spdist;pgeom;cpath;tpath;mgeom;ep;tp;length;duration;speed
88;1541;7.97918e-07;0.0044954;;LINESTRING(-76.4520256872 38.3561397193);1541;;LINESTRING(-76.4520256872 38.3561397193,-76.4520256872 38.3561397193);1;0;0.00744511676731;;
89;1541;7.69982e-06;0.00449466;;LINESTRING(-76.4520252999 38.3561403502);1541;;LINESTRING(-76.4520252999 38.3561403502,-76.4520252999 38.3561403502);1;0;0.00744511676731;;
90;1541;7.69982e-06;0.00449466;;LINESTRING(-76.4520252999 38.3561403502);1541;;LINESTRING(-76.4520252999 38.3561403502,-76.4520252999 38.3561403502);1;0;0.00744511676731;;
91;1541;1.61976e-05;0.00449392;;LINESTRING(-76.4520249126 38.3561409812);1541;;LINESTRING(-76.4520249126 38.3561409812,-76.4520249126 38.3561409812);1;0;0.00744511676731;;
92;1541;2.26996e-05;0.00448993;;LINESTRING(-76.4520228245 38.3561443827);1541;;LINESTRING(-76.4520228245 38.3561443827,-76.4520228245 38.3561443827);1;0;0.00744511676731;;
93;1541;2.46953e-05;0.00449318;;LINESTRING(-76.4520245252 38.3561416121);1541;;LINESTRING(-76.4520245252 38.3561416121,-76.4520245252 38.3561416121);1;0;0.00744511676731;;
94;1541;3.11973e-05;0.00448919;;LINESTRING(-76.4520224371 38.3561450137);1541;;LINESTRING(-76.4520224371 38.3561450137,-76.4520224371 38.3561450137);1;0;0.00744511676731;;
95;1541;3.11973e-05;0.00448919;;LINESTRING(-76.4520224371 38.3561450137);1541;;LINESTRING(-76.4520224371 38.3561450137,-76.4520224371 38.3561450137);1;0;0.00744511676731;;
96;1541;3.3193e-05;0.00449244;;LINESTRING(-76.4520241379 38.356142243);1541;;LINESTRING(-76.4520241379 38.356142243,-76.4520241379 38.356142243);1;0;0.00744511676731;;
97;1541;3.3193e-05;0.00449244;;LINESTRING(-76.4520241379 38.356142243);1541;;LINESTRING(-76.4520241379 38.356142243,-76.4520241379 38.356142243);1;0;0.00744511676731;;
98;1541;3.3193e-05;0.00449244;;LINESTRING(-76.4520241379 38.356142243);1541;;LINESTRING(-76.4520241379 38.356142243,-76.4520241379 38.356142243);1;0;0.00744511676731;;
99;1541;3.96951e-05;0.00448845;;LINESTRING(-76.4520220498 38.3561456446);1541;;LINESTRING(-76.4520220498 38.3561456446,-76.4520220498 38.3561456446);1;0;0.00744511676731;;
100;1541;3.96951e-05;0.00448845;;LINESTRING(-76.4520220498 38.3561456446);1541;;LINESTRING(-76.4520220498 38.3561456446,-76.4520220498 38.3561456446);1;0;0.00744511676731;;
101;1541;3.96951e-05;0.00448845;;LINESTRING(-76.4520220498 38.3561456446);1541;;LINESTRING(-76.4520220498 38.3561456446,-76.4520220498 38.3561456446);1;0;0.00744511676731;;
